id,text,sentiment_label,intent_label,topic_label,annotation_status,confidence_score
TXT-0059,The product arrived broken and the return process is a nightmare. Very bad.,Negative,Complaint,Technology,annotated,0.91
TXT-0060,Wonderful experience overall. Will definitely order again.,Positive,Inquiry,Entertainment,annotated,0.96
TXT-0061,Received the item in perfect condition. Very satisfied.,Positive,Request,Entertainment,annotated,0.91
TXT-0062,Best purchase I have made this year. Truly outstanding. 5 stars.,Positive,Inquiry,Sports,annotated,0.95
TXT-0063,Best purchase I have made this year. Truly outstanding. Would recommend.,Positive,Complaint,Finance,annotated,0.85
TXT-0064,Great value for money. The product is exactly as described. Would recommend.,Positive,Request,Finance,annotated,0.95
TXT-0065,The app is intuitive and works perfectly without any bugs.,Positive,Feedback,Health,annotated,0.93
TXT-0066,Do not buy this. It is a scam. Avoid.,Negative,Inquiry,Health,annotated,0.82
TXT-0067,Superb build quality and very easy to set up.,Positive,Feedback,Finance,annotated,0.85
TXT-0068,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Sports,annotated,0.85
TXT-0069,Poor quality. The stitching came apart within a week. Zero stars.,Negative,Complaint,Health,annotated,0.85
TXT-0070,Received the item in perfect condition. Very satisfied.,Positive,Inquiry,Finance,annotated,0.82
TXT-0071,Brilliant product! Exactly what I needed. 5 stars.,Positive,Feedback,Finance,annotated,0.9
TXT-0072,Works as expected. Average experience.,Neutral,Request,Entertainment,annotated,0.93
TXT-0073,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Sports,annotated,0.95
TXT-0074,Terrible product. Stopped working after just two days. Very bad.,Negative,Greeting,Sports,annotated,0.82
TXT-0075,Standard product. Met the basic requirements.,Neutral,Greeting,Health,annotated,0.88
TXT-0076,Terrible product. Stopped working after just two days. Very bad.,Negative,Request,Entertainment,annotated,0.96
TXT-0077,Highly overpriced for the terrible quality offered.,Negative,Greeting,Technology,annotated,0.96
TXT-0078,Fell apart on the first use. Very poor craftsmanship. Very bad.,Negative,Inquiry,Health,annotated,0.82
TXT-0079,Received on time. Packaging was intact.,Neutral,Request,Health,annotated,0.79
TXT-0080,Terrible product. Stopped working after just two days.,Negative,Greeting,Entertainment,annotated,0.91
TXT-0081,Standard product. Met the basic requirements.,Neutral,Greeting,Health,annotated,0.79
TXT-0082,Fast delivery and excellent packaging. Will buy again. Would recommend.,Positive,Request,Entertainment,annotated,0.87
TXT-0083,Best purchase I have made this year. Truly outstanding.,Positive,Complaint,Finance,annotated,0.9
TXT-0084,Fast delivery and excellent packaging. Will buy again. Would recommend.,Positive,Feedback,Entertainment,annotated,0.79
TXT-0085,The app is intuitive and works perfectly without any bugs. Loved it!,Positive,Greeting,Entertainment,annotated,0.88
TXT-0086,Received the item in perfect condition. Very satisfied.,Positive,Complaint,Technology,annotated,0.91
TXT-0087,Customer service was incredibly helpful and resolved my issue quickly. 5 stars.,Positive,Greeting,Sports,annotated,0.95
TXT-0088,Customer support was rude and unhelpful. Never buying again. Zero stars.,Negative,Greeting,Health,annotated,0.79
TXT-0089,Customer service was incredibly helpful and resolved my issue quickly. Would recommend.,Positive,Feedback,Entertainment,annotated,0.9
TXT-0090,The item matches the product description provided.,Neutral,Greeting,Entertainment,annotated,0.87
TXT-0091,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Sports,annotated,0.9
TXT-0092,Fell apart on the first use. Very poor craftsmanship. Very bad.,Negative,Feedback,Technology,annotated,0.79
TXT-0093,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Greeting,Sports,annotated,0.91
TXT-0094,Best purchase I have made this year. Truly outstanding.,Positive,Inquiry,Technology,annotated,0.9
TXT-0095,I regret buying this. Total disappointment.,Negative,Greeting,Entertainment,annotated,0.93
TXT-0096,Received the wrong item and nobody is responding.,Negative,Inquiry,Technology,annotated,0.93
TXT-0097,I regret buying this. Total disappointment. Very bad.,Negative,Complaint,Sports,annotated,0.88
TXT-0098,The product arrived broken and the return process is a nightmare.,Negative,Request,Finance,annotated,0.93
TXT-0099,Average quality. Suitable for occasional use.,Neutral,Greeting,Sports,annotated,0.87
TXT-0100,Brilliant product! Exactly what I needed. Great!,Positive,Greeting,Finance,annotated,0.93
TXT-0101,The product is functional and serves its purpose.,Neutral,Request,Entertainment,annotated,0.79
TXT-0102,Received the item in perfect condition. Very satisfied. 5 stars.,Positive,Request,Entertainment,annotated,0.93
TXT-0103,The item matches the product description provided.,Neutral,Feedback,Health,annotated,0.87
TXT-0104,I regret buying this. Total disappointment.,Negative,Inquiry,Health,annotated,0.88
TXT-0105,Battery life is horrible. Barely lasts two hours. Avoid.,Negative,Feedback,Health,annotated,0.88
TXT-0106,Top notch quality and super fast shipping. Loved it!,Positive,Feedback,Sports,annotated,0.95
TXT-0107,The product arrived broken and the return process is a nightmare. Avoid.,Negative,Complaint,Entertainment,annotated,0.96
TXT-0108,"Product is okay. Not great, not bad.",Neutral,Request,Sports,annotated,0.87
TXT-0109,Fell apart on the first use. Very poor craftsmanship. Avoid.,Negative,Feedback,Technology,annotated,0.93
TXT-0110,Best purchase I have made this year. Truly outstanding. Great!,Positive,Request,Health,annotated,0.79
TXT-0111,Do not buy this. It is a scam.,Negative,Inquiry,Entertainment,annotated,0.88
TXT-0112,Best purchase I have made this year. Truly outstanding.,Positive,Inquiry,Technology,annotated,0.96
TXT-0113,I regret buying this. Total disappointment. Zero stars.,Negative,Complaint,Entertainment,annotated,0.88
TXT-0114,Amazing quality for the price. Highly recommend to everyone. Loved it!,Positive,Complaint,Sports,annotated,0.91
TXT-0115,The item matches the product description provided.,Neutral,Complaint,Finance,annotated,0.95
TXT-0116,The product exceeded my expectations. Absolutely love it!,Positive,Request,Sports,annotated,0.93
TXT-0117,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Health,annotated,0.88
TXT-0118,Best purchase I have made this year. Truly outstanding. Great!,Positive,Greeting,Finance,annotated,0.85
TXT-0119,Battery life is horrible. Barely lasts two hours. Very bad.,Negative,Request,Finance,annotated,0.93
TXT-0120,Highly overpriced for the terrible quality offered. Very bad.,Negative,Request,Finance,annotated,0.82
TXT-0121,Highly overpriced for the terrible quality offered. Avoid.,Negative,Complaint,Health,annotated,0.91
TXT-0122,Nothing remarkable but no complaints either.,Neutral,Complaint,Health,annotated,0.9
TXT-0123,Best purchase I have made this year. Truly outstanding. Would recommend.,Positive,Greeting,Sports,annotated,0.87
TXT-0124,Highly overpriced for the terrible quality offered. Zero stars.,Negative,Request,Health,annotated,0.87
TXT-0125,Amazing quality for the price. Highly recommend to everyone. Great!,Positive,Inquiry,Sports,annotated,0.79
TXT-0126,Awful smell and bad material. Returned immediately. Avoid.,Negative,Complaint,Health,annotated,0.93
TXT-0127,Very happy with this purchase. Works like a charm. 5 stars.,Positive,Inquiry,Finance,annotated,0.9
TXT-0128,I am impressed with the performance. Worth every rupee. Would recommend.,Positive,Greeting,Health,annotated,0.82
TXT-0129,Package was sealed properly. Contents were as listed.,Neutral,Complaint,Finance,annotated,0.82
TXT-0130,Customer service was incredibly helpful and resolved my issue quickly. Would recommend.,Positive,Inquiry,Technology,annotated,0.79
TXT-0131,Best purchase I have made this year. Truly outstanding. Would recommend.,Positive,Request,Health,annotated,0.88
TXT-0132,The app is intuitive and works perfectly without any bugs. 5 stars.,Positive,Greeting,Technology,annotated,0.9
TXT-0133,Order was processed and shipped on time.,Neutral,Inquiry,Technology,annotated,0.79
TXT-0134,Awful smell and bad material. Returned immediately. Very bad.,Negative,Feedback,Finance,annotated,0.95
TXT-0135,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Feedback,Health,annotated,0.85
TXT-0136,Nothing remarkable but no complaints either.,Neutral,Inquiry,Finance,annotated,0.88
TXT-0137,The description is misleading. Product is much smaller than shown. Zero stars.,Negative,Greeting,Health,annotated,0.95
TXT-0138,Extremely slow delivery. Took three weeks for a local order.,Negative,Inquiry,Finance,annotated,0.87
TXT-0139,"Product is okay. Not great, not bad.",Neutral,Complaint,Entertainment,annotated,0.9
TXT-0140,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Technology,annotated,0.87
TXT-0141,Highly overpriced for the terrible quality offered. Very bad.,Negative,Greeting,Entertainment,annotated,0.91
TXT-0142,Amazing quality for the price. Highly recommend to everyone.,Positive,Inquiry,Finance,annotated,0.87
TXT-0143,The product arrived broken and the return process is a nightmare.,Negative,Inquiry,Entertainment,annotated,0.85
TXT-0144,Delivery was on schedule. No issues with the order.,Neutral,Greeting,Sports,annotated,0.85
TXT-0145,Works as expected. Average experience.,Neutral,Request,Finance,annotated,0.91
TXT-0146,Superb build quality and very easy to set up. Would recommend.,Positive,Greeting,Technology,annotated,0.95
TXT-0147,The product is functional and serves its purpose.,Neutral,Feedback,Technology,annotated,0.95
TXT-0148,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Inquiry,Entertainment,annotated,0.91
TXT-0149,Very disappointed. The item looks nothing like the photos. Very bad.,Negative,Feedback,Technology,annotated,0.82
TXT-0150,Superb build quality and very easy to set up. Great!,Positive,Request,Technology,annotated,0.85
TXT-0151,Worst purchase ever. Complete waste of money.,Negative,Inquiry,Sports,annotated,0.93
TXT-0152,The product arrived broken and the return process is a nightmare.,Negative,Request,Sports,annotated,0.95
TXT-0153,Fast delivery and excellent packaging. Will buy again.,Positive,Feedback,Technology,annotated,0.93
TXT-0154,"It does what it says. Nothing more, nothing less.",Neutral,Request,Entertainment,annotated,0.87
TXT-0155,Customer service was incredibly helpful and resolved my issue quickly. Loved it!,Positive,Complaint,Health,annotated,0.91
TXT-0156,Great value for money. The product is exactly as described.,Positive,Greeting,Sports,annotated,0.82
TXT-0157,Fell apart on the first use. Very poor craftsmanship. Zero stars.,Negative,Request,Health,annotated,0.88
TXT-0158,"It does what it says. Nothing more, nothing less.",Neutral,Inquiry,Technology,annotated,0.96
TXT-0159,Terrible product. Stopped working after just two days.,Negative,Complaint,Finance,annotated,0.9
TXT-0160,Standard product. Met the basic requirements.,Neutral,Complaint,Entertainment,annotated,0.85
TXT-0161,Terrible product. Stopped working after just two days.,Negative,Complaint,Finance,annotated,0.9
TXT-0162,Top notch quality and super fast shipping. Great!,Positive,Request,Finance,annotated,0.82
TXT-0163,Battery life is horrible. Barely lasts two hours. Zero stars.,Negative,Inquiry,Entertainment,annotated,0.91
TXT-0164,Best purchase I have made this year. Truly outstanding. Loved it!,Positive,Feedback,Entertainment,annotated,0.9
TXT-0165,Nothing remarkable but no complaints either.,Neutral,Inquiry,Health,annotated,0.79
TXT-0166,No issues with the order. Standard delivery.,Neutral,Greeting,Finance,annotated,0.93
TXT-0167,Average quality. Suitable for occasional use.,Neutral,Feedback,Technology,annotated,0.96
TXT-0168,The product is functional and serves its purpose.,Neutral,Inquiry,Sports,annotated,0.9
TXT-0169,Battery life is horrible. Barely lasts two hours.,Negative,Feedback,Sports,annotated,0.91
TXT-0170,Received the wrong item and nobody is responding. Avoid.,Negative,Request,Finance,annotated,0.82
TXT-0171,Order was processed and shipped on time.,Neutral,Inquiry,Entertainment,annotated,0.82
TXT-0172,Delivery was on schedule. No issues with the order.,Neutral,Inquiry,Health,annotated,0.88
TXT-0173,Decent product at a reasonable price.,Neutral,Request,Technology,annotated,0.93
TXT-0174,The product is functional and serves its purpose.,Neutral,Request,Entertainment,annotated,0.82
TXT-0175,The product is functional and serves its purpose.,Neutral,Request,Finance,annotated,0.93
TXT-0176,Best purchase I have made this year. Truly outstanding. Loved it!,Positive,Complaint,Sports,annotated,0.79
TXT-0177,Brilliant product! Exactly what I needed. 5 stars.,Positive,Greeting,Finance,annotated,0.85
TXT-0178,The product arrived on the expected delivery date.,Neutral,Request,Entertainment,annotated,0.96
TXT-0179,I am impressed with the performance. Worth every rupee. Great!,Positive,Inquiry,Entertainment,annotated,0.85
TXT-0180,Received on time. Packaging was intact.,Neutral,Inquiry,Sports,annotated,0.87
TXT-0181,Poor quality. The stitching came apart within a week. Avoid.,Negative,Complaint,Finance,annotated,0.96
TXT-0182,No issues with the order. Standard delivery.,Neutral,Complaint,Sports,annotated,0.88
TXT-0183,Highly overpriced for the terrible quality offered. Zero stars.,Negative,Inquiry,Sports,annotated,0.9
TXT-0184,Highly overpriced for the terrible quality offered. Zero stars.,Negative,Feedback,Health,annotated,0.87
TXT-0185,Average quality. Suitable for occasional use.,Neutral,Greeting,Health,annotated,0.95
TXT-0186,Best purchase I have made this year. Truly outstanding. 5 stars.,Positive,Greeting,Sports,annotated,0.79
TXT-0187,Great value for money. The product is exactly as described. Great!,Positive,Feedback,Finance,annotated,0.95
TXT-0188,The app is intuitive and works perfectly without any bugs. 5 stars.,Positive,Complaint,Entertainment,annotated,0.82
TXT-0189,Brilliant product! Exactly what I needed. Loved it!,Positive,Complaint,Health,annotated,0.93
TXT-0190,Superb build quality and very easy to set up.,Positive,Request,Health,annotated,0.9
TXT-0191,Customer service was incredibly helpful and resolved my issue quickly. Loved it!,Positive,Inquiry,Sports,annotated,0.79
TXT-0192,I regret buying this. Total disappointment. Zero stars.,Negative,Greeting,Health,annotated,0.95
TXT-0193,Worst purchase ever. Complete waste of money.,Negative,Request,Finance,annotated,0.95
TXT-0194,Top notch quality and super fast shipping. 5 stars.,Positive,Inquiry,Entertainment,annotated,0.93
TXT-0195,The description is misleading. Product is much smaller than shown. Zero stars.,Negative,Complaint,Entertainment,annotated,0.87
TXT-0196,The product exceeded my expectations. Absolutely love it! Great!,Positive,Complaint,Sports,annotated,0.91
TXT-0197,"It does what it says. Nothing more, nothing less.",Neutral,Complaint,Finance,annotated,0.88
TXT-0198,The product exceeded my expectations. Absolutely love it! Loved it!,Positive,Request,Health,annotated,0.87
TXT-0199,The product exceeded my expectations. Absolutely love it!,Positive,Request,Sports,annotated,0.9
TXT-0200,The product arrived on the expected delivery date.,Neutral,Greeting,Entertainment,annotated,0.91
TXT-0201,Received the item in perfect condition. Very satisfied. Great!,Positive,Greeting,Health,annotated,0.91
TXT-0202,Battery life is horrible. Barely lasts two hours. Avoid.,Negative,Greeting,Sports,annotated,0.91
TXT-0203,Received the wrong item and nobody is responding. Zero stars.,Negative,Complaint,Entertainment,annotated,0.85
TXT-0204,Customer support was rude and unhelpful. Never buying again. Zero stars.,Negative,Greeting,Entertainment,annotated,0.88
TXT-0205,Best purchase I have made this year. Truly outstanding. 5 stars.,Positive,Request,Technology,annotated,0.96
TXT-0206,The app is intuitive and works perfectly without any bugs. Would recommend.,Positive,Greeting,Finance,annotated,0.95
TXT-0207,Do not buy this. It is a scam. Zero stars.,Negative,Complaint,Technology,annotated,0.96
TXT-0208,Package was sealed properly. Contents were as listed.,Neutral,Request,Sports,annotated,0.82
TXT-0209,Superb build quality and very easy to set up. Would recommend.,Positive,Complaint,Finance,annotated,0.91
TXT-0210,Package was sealed properly. Contents were as listed.,Neutral,Request,Health,annotated,0.95
TXT-0211,I regret buying this. Total disappointment. Very bad.,Negative,Complaint,Finance,annotated,0.87
TXT-0212,Standard product. Met the basic requirements.,Neutral,Request,Health,annotated,0.9
TXT-0213,Terrible product. Stopped working after just two days. Very bad.,Negative,Greeting,Entertainment,annotated,0.96
TXT-0214,Wonderful experience overall. Will definitely order again. Great!,Positive,Feedback,Technology,annotated,0.93
TXT-0215,Poor quality. The stitching came apart within a week. Zero stars.,Negative,Complaint,Health,annotated,0.82
TXT-0216,"It does what it says. Nothing more, nothing less.",Neutral,Inquiry,Entertainment,annotated,0.9
TXT-0217,Brilliant product! Exactly what I needed. Would recommend.,Positive,Feedback,Sports,annotated,0.87
TXT-0218,Received the wrong item and nobody is responding. Zero stars.,Negative,Greeting,Health,annotated,0.85
TXT-0219,The product exceeded my expectations. Absolutely love it! Great!,Positive,Inquiry,Technology,annotated,0.82
TXT-0220,The app is intuitive and works perfectly without any bugs.,Positive,Greeting,Sports,annotated,0.9
TXT-0221,Very happy with this purchase. Works like a charm. 5 stars.,Positive,Feedback,Sports,annotated,0.91
TXT-0222,Delivery was on schedule. No issues with the order.,Neutral,Feedback,Entertainment,annotated,0.88
TXT-0223,Extremely slow delivery. Took three weeks for a local order.,Negative,Greeting,Sports,annotated,0.93
TXT-0224,Package was sealed properly. Contents were as listed.,Neutral,Feedback,Finance,annotated,0.9
TXT-0225,Top notch quality and super fast shipping. Great!,Positive,Feedback,Finance,annotated,0.85
TXT-0226,Extremely slow delivery. Took three weeks for a local order. Zero stars.,Negative,Feedback,Health,annotated,0.82
TXT-0227,Fast delivery and excellent packaging. Will buy again. Great!,Positive,Feedback,Sports,annotated,0.91
TXT-0228,The app is intuitive and works perfectly without any bugs. 5 stars.,Positive,Inquiry,Technology,annotated,0.85
TXT-0229,Customer service was incredibly helpful and resolved my issue quickly. Would recommend.,Positive,Greeting,Entertainment,annotated,0.95
TXT-0230,Superb build quality and very easy to set up. Would recommend.,Positive,Complaint,Technology,annotated,0.85
TXT-0231,The app is intuitive and works perfectly without any bugs.,Positive,Greeting,Entertainment,annotated,0.85
TXT-0232,Very happy with this purchase. Works like a charm. 5 stars.,Positive,Complaint,Health,annotated,0.82
TXT-0233,Average quality. Suitable for occasional use.,Neutral,Complaint,Entertainment,annotated,0.82
TXT-0234,Loved the packaging and the product quality is fantastic. Loved it!,Positive,Greeting,Finance,annotated,0.9
TXT-0235,Awful smell and bad material. Returned immediately.,Negative,Inquiry,Health,annotated,0.93
TXT-0236,Best purchase I have made this year. Truly outstanding. 5 stars.,Positive,Inquiry,Technology,annotated,0.95
TXT-0237,"It does what it says. Nothing more, nothing less.",Neutral,Feedback,Sports,annotated,0.82
TXT-0238,Worst purchase ever. Complete waste of money.,Negative,Feedback,Health,annotated,0.85
TXT-0239,Amazing quality for the price. Highly recommend to everyone. Would recommend.,Positive,Greeting,Finance,annotated,0.9
TXT-0240,The description is misleading. Product is much smaller than shown. Very bad.,Negative,Feedback,Technology,annotated,0.93
TXT-0241,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Request,Health,annotated,0.9
TXT-0242,The description is misleading. Product is much smaller than shown. Avoid.,Negative,Greeting,Finance,annotated,0.82
TXT-0243,Best purchase I have made this year. Truly outstanding. 5 stars.,Positive,Inquiry,Sports,annotated,0.9
TXT-0244,The item matches the product description provided.,Neutral,Request,Health,annotated,0.93
TXT-0245,Best purchase I have made this year. Truly outstanding. Would recommend.,Positive,Inquiry,Health,annotated,0.9
TXT-0246,Extremely slow delivery. Took three weeks for a local order. Avoid.,Negative,Feedback,Technology,annotated,0.82
TXT-0247,Loved the packaging and the product quality is fantastic.,Positive,Greeting,Entertainment,annotated,0.88
TXT-0248,Customer support was rude and unhelpful. Never buying again. Very bad.,Negative,Inquiry,Sports,annotated,0.95
TXT-0249,Works as expected. Average experience.,Neutral,Complaint,Sports,annotated,0.96
TXT-0250,Awful smell and bad material. Returned immediately.,Negative,Feedback,Finance,annotated,0.93
TXT-0251,Best purchase I have made this year. Truly outstanding. Loved it!,Positive,Request,Technology,annotated,0.82
TXT-0252,Delivery was on schedule. No issues with the order.,Neutral,Request,Entertainment,annotated,0.9
TXT-0253,Average quality. Suitable for occasional use.,Neutral,Greeting,Sports,annotated,0.87
TXT-0254,Superb build quality and very easy to set up. Great!,Positive,Greeting,Entertainment,annotated,0.79
TXT-0255,Wonderful experience overall. Will definitely order again. Great!,Positive,Inquiry,Health,annotated,0.85
TXT-0256,Customer support was rude and unhelpful. Never buying again. Very bad.,Negative,Request,Health,annotated,0.9
TXT-0257,Received the wrong item and nobody is responding.,Negative,Complaint,Technology,annotated,0.85
TXT-0258,Order was processed and shipped on time.,Neutral,Greeting,Entertainment,annotated,0.88
TXT-0259,The product is functional and serves its purpose.,Neutral,Greeting,Finance,annotated,0.9
TXT-0260,The description is misleading. Product is much smaller than shown. Avoid.,Negative,Request,Entertainment,annotated,0.82
TXT-0261,Do not buy this. It is a scam. Zero stars.,Negative,Complaint,Sports,annotated,0.79
TXT-0262,Fast delivery and excellent packaging. Will buy again. 5 stars.,Positive,Complaint,Technology,annotated,0.82
TXT-0263,Fell apart on the first use. Very poor craftsmanship. Zero stars.,Negative,Feedback,Health,annotated,0.79
TXT-0264,Delivery was on schedule. No issues with the order.,Neutral,Greeting,Sports,annotated,0.88
TXT-0265,The product arrived broken and the return process is a nightmare.,Negative,Request,Sports,annotated,0.85
TXT-0266,The product arrived broken and the return process is a nightmare. Very bad.,Negative,Complaint,Technology,annotated,0.96
TXT-0267,Terrible product. Stopped working after just two days. Avoid.,Negative,Inquiry,Finance,annotated,0.85
TXT-0268,Superb build quality and very easy to set up. Loved it!,Positive,Inquiry,Health,annotated,0.87
TXT-0269,Superb build quality and very easy to set up. Would recommend.,Positive,Inquiry,Sports,annotated,0.95
TXT-0270,"Product is okay. Not great, not bad.",Neutral,Inquiry,Sports,annotated,0.93
TXT-0271,Extremely slow delivery. Took three weeks for a local order. Very bad.,Negative,Inquiry,Sports,annotated,0.9
TXT-0272,I am impressed with the performance. Worth every rupee. Would recommend.,Positive,Complaint,Finance,annotated,0.82
TXT-0273,Amazing quality for the price. Highly recommend to everyone. 5 stars.,Positive,Greeting,Technology,annotated,0.85
TXT-0274,Received the wrong item and nobody is responding. Zero stars.,Negative,Feedback,Finance,annotated,0.79
TXT-0275,Great value for money. The product is exactly as described. Great!,Positive,Request,Entertainment,annotated,0.96
TXT-0276,Wonderful experience overall. Will definitely order again. 5 stars.,Positive,Request,Entertainment,annotated,0.9
TXT-0277,Received the item in perfect condition. Very satisfied.,Positive,Feedback,Health,annotated,0.85
TXT-0278,Brilliant product! Exactly what I needed. Would recommend.,Positive,Inquiry,Health,annotated,0.9
TXT-0279,Loved the packaging and the product quality is fantastic.,Positive,Complaint,Finance,annotated,0.9
TXT-0280,The product arrived broken and the return process is a nightmare. Very bad.,Negative,Feedback,Technology,annotated,0.88
TXT-0281,Customer support was rude and unhelpful. Never buying again. Avoid.,Negative,Greeting,Sports,annotated,0.93
TXT-0282,Received the item in perfect condition. Very satisfied.,Positive,Greeting,Sports,annotated,0.93
TXT-0283,Extremely slow delivery. Took three weeks for a local order. Zero stars.,Negative,Greeting,Finance,annotated,0.95
TXT-0284,The product is functional and serves its purpose.,Neutral,Request,Health,annotated,0.93
